e0dd4d	W	S
bdc675	W	M
9e10b1	W	M
3d8988	W	M
9b35ac	W	M
1d1905	W	V
195685	C
2d87ab	W	W
075455	C
458688	W	T
c0a3b6	C
c05856	C
3a1889	W	V
5fd5c6	W	S
fcad91	W	M
6d45e1	W	T
f19fdd	W	S
225e62	W	V
30f105	W	M
ca9494	W	V
c9a1cc	W	T
bf0feb	W	M
f441ec	W	M
8f1e6e	C
2847e7	C
ed484c	W	T
e32bf0	W	M
647270	W	M
429826	W	V
0ed786	C
a6076f	W	W
847dd3	W	V
13e3a5	W	T
7590be	W	S
73f6b6	C
0e5eb3	W	S
b1029b	W	T
4da0f9	C
9d8091	C
48bbd9	C
9a82a8	W	M
31727f	W	W
0bb8c3	C
9cc8f4	C
bc015b	C
40b61e	C
53c367	W	T
c95291	W	T
433ca2	C
c6fe0e	C
c48c4d	C
2518ec	C
d7c2e1	W	S
6c9d40	W	W
66f6dc	W	T
1038f1	W	W
0b3eba	W	S
4a2523	W	M
a16548	C
8194e5	W	M
b595d6	W	M
5527e1	W	W
30f025	C
ab32d3	W	M
8076ea	W	S
c0241c	C
c43869	W	S
12375c	C
7cbe58	C
57af2a	C
73f44b	W	S
5889d4	C
1bf358	W	M
41e70b	C
50de8d	W	M
9e9b80	W	S
3577f5	W	T
a0ed46	C
bd4052	W	T
7ba6d3	W	W
94d570	W	T
b7db19	C
751062	W	T
429155	W	T
3b91ba	W	W
acc9c4	W	W
ba111c	C
fe41a9	W	W
a95fa3	W	T
7ce8f4	W	S
2371dd	W	V
750a96	W	S
a30bbf	W	S
c9ed02	W	M
7acefc	C
a39882	W	S
d9ec9f	W	W
d97ddb	W	V
3f5af7	C
ac7f6f	W	S
e16756	W	S
cd6993	C
a947e5	C
7c5ba1	W	T
45e33e	C
00f221	C
4a451b	C
8d6cde	W	W
b1207a	C
47e7a4	C
37cbda	C
632d5f	W	V
4c5a58	C
bb9988	W	V
90b3f7	W	S
ce3e69	W	V
a9a03f	W	W
3ed3d5	C
a4b242	W	T
9f6dd3	W	M
67ea18	W	V
ace911	C
f0398d	W	S
f99b32	W	M
c8440d	W	T
4bf33e	W	V
3dfcd8	C
da0411	C
e09778	W	S
ef3197	C
73cb19	C
e118c8	W	M
fe2065	W	M
eebd64	W	T
65cfe6	W	W
1637a2	C
2d10d7	C
59a664	W	T
a38037	W	V
94313f	W	M
130860	W	T
dc4bed	W	W
54ad90	C
0cc59f	W	W
fa1ca6	C
cf6158	W	S
8a821a	C
3ec334	W	S
cfd335	C
5f929e	W	T
6f4ab8	C
bc4e6e	C
4e0a35	W	M
c661aa	W	M
adf3d4	W	T
501b36	W	V
dace34	C
dfca7a	C
5998bd	W	S
a216be	W	S
b47041	W	S
918cc6	C
38d239	C
f00f49	W	T
21f4c6	W	M
4c0060	W	T
0bc6ac	W	W
a7afa1	C
4c1256	W	M
72de1a	W	M
87d1c9	W	S
19d970	W	T
def537	C
d46e7d	W	T
8dad9f	W	V
29d0af	C
73b3d4	C
2871c2	C
6a5860	W	S
bd8b6d	W	S
ff9abe	C
f7540c	W	M
973fdc	W	T
b72420	W	S
7c7433	C
31b3a8	W	M
d32f44	W	W
78608f	W	V
fd9edc	W	M
9248f8	W	T
8512ab	W	W
1d7013	W	T
f89a4e	W	W
b0d3c6	W	S
c97225	C
f02f50	W	M
85fc8d	W	V
782e50	W	S
3bf424	W	S
5d11bf	W	W
a6d396	C
9723da	W	T
51c541	W	S
2af003	W	M
55522c	C
28e919	W	S
cb7883	C
73745c	C
19dda5	W	S
e85246	W	T
b7c42b	W	S
d1a0fc	W	V
697f8f	W	W
75a3d1	W	T
28910d	C
e4ee5b	W	M
3bec1a	W	T
76968a	C
c2aafe	C
3d7b31	W	W
dc1c1e	W	W
7c4306	C
3261b9	W	W
57f428	W	M
889344	W	W
8de144	C
2c5a70	W	T
8c09c7	C
df7bd2	C
a74242	W	W
fbad30	C
8aceab	C
4cee8a	W	W
ad6cba	W	T
7c2115	W	M
19d889	C
0cf457	C
6cf736	W	S
bc931e	C
6e3f48	W	S
dabdb4	W	T
9bef97	W	W
b7d23e	W	S
64745e	W	S
709c24	C
77647c	C
7ab32d	W	S
c8708a	C
22bff8	C
76e3ad	C
af082f	C
6aaaab	C
8be00d	W	T
454afb	C
9fb843	W	S
c75076	W	T
0bd0b6	W	T
63a435	W	T
6a504b	C
7419da	C
a08184	W	W
2c4677	W	T
c0d554	W	M
bbf132	C
3e5f2d	C
e26fdd	C
32d5a6	C
71986a	W	W
40cf69	C
787d1f	W	W
e8d313	C
67d2c7	C
ec6ce3	C
253dea	W	M
2e8d9e	C
c1e68b	C
7534fe	W	S
dfc678	C
4cc810	W	T
9acda2	W	S
50a4c0	W	M
f1781b	C
2ce879	C
5ef28d	W	M
8ac057	W	S
bc791b	W	W
5c6e61	C
